,,before,sentence,after,final
55,1056,But you will be surprised to know that.,... reality is just the opposite .... And Muslims consider terrorism to be pure form of Islam and enjoy it.,"As ... Mullah Immanullah Khomeini of Iran has also said .... ""The real pleasure of Islam lies in killing people and dying for Allah"".",culture
56,1057,"Retired Sessions # Judge Neelkanth Ganju, who sentenced Jammu Kashmir Liberation Front leader Maqbool Butt to death, was killed just a month after Atikku's assassination.","Then on 13 February, terror reached its peak 🚩  with the ruthless killing of Lassa Kaul, the director of Television #Center, Srinagar.",Most of the #Hindu leaders of that era were assassinated.,oppression
57,1058,"On the day when breathing will become more difficult, even on that day, Allah, the deen, Jihad, the Quran, and Allah’s decree to establish Islam in the whole world, will not give you breath.",The nature of God is in front of us and we are ignoring it.,Nature behaves the same way to every person.,none
58,1059,... because the food-producing land from the new cemeteries is getting destroyed!,Why are Kashmiri and Paki Muslims fighting for Nizam-e-Mustafa in Kashmir silent on the 'plight' of Uygur Muslims in China?,Even a fool can understand that Pakistan always needs China to fight 'Hindus of India' ...,culture
59,1060,Which Hindus have now left behind in political fraud ..!,"Between the reservation ... and the hatred that has arisen, various political parties are shown dreams of becoming judge Kalattar by relinquishing their traditional occupation to Hindu society ...",But in reality neither job nor any skill remains in them ..!,none
60,1061,"* * ▪ Or did the Sri Lankan army shower ▪  poles on someone that went astray ,,,?","* * ▪ or was a Muslim killed for keeping a cow there ,,,?",* * What atrocities were there on the Muslims?,none
61,1062,Hasan Imran has been the co-founder of the banned terrorist organization SIMI.,"Hasan Imran is accused of transferring the money of the Saradha chit fund scam to the Jamaat-e-Islami, a jihadist organization in Bangladesh, to incite riots in Bangladesh.",The NIA and CBI are also under investigation against Hasan Imran.,none
62,1063,"Otherwise, only you will wash the wounds with tears, today on a twinkle, tomorrow Sita will cry on Geeta.","(If there is anger in the chest, share the poem in full).",,none
63,1064,,"* # Ambedkar_and_Islam_4 * Many people feel that Dr. Ambedkar was just anti-Hindu, because he never criticized Islam from the public stage, but he was angry at his heart for Islam in his book * Pakistan or Partition of India ' It is written in *.","He wrote on page-294/295 that- ""The world is divided into two parts according to Islamic principles!",culture
64,1065,"Many women were raped by the police, army and local people .......",I visited Kalashaira and adjoining villages on 28 February 1950 ......,"When I came to Kalashara, I saw this place desolate and Turned into ruins ........ About 350 houses were demolished here …… I informed you with the facts …….",none
65,1066,"He said in his heart - what should I say father, all were impotent.",Rajendra Kaul bubbled for the last time - I… eunuch… but could not speak more than this.,Yamraj had done his work.,none
66,1067,Rahul Pandita's family spent three months in the hope that the atmosphere might improve.,"Rahul adds, ""Some boys with whom we used to play cricket since childhood were talking about sharing the vacant houses of the pandits outside our house and saying dirty things about our girls.",There is still freshness in the mind.,none
67,1068,"If you open the inner body of a girl and find the right price, then they get at least 5 crores comfortably…!",And that's why no law is made on love jihad / human trafficking nor does anyone allow it to be made ...!,"One thing and never the daughter of any leader or business does not run away / disappears, always the same girls whose family has no political or legal hold ...!",oppression
68,1069,Then even if he is a Muslim himself.,"If they do un-Islamic work, then these terrorist strikers directly attack.","These most dreaded strikers receive the best religious and military training. . Then comes the midfielders, these are the Muslims who do not attack directly, but make every effort to help those strikers Muslims in every possible way.",action
69,1070,* You guys were crying for petrol diesel ... * !!,* They were competing to become suicide squad .. * !!,* You guys were involved in a change in debt forgiveness ... * !!,none
70,1071,"Bamsef, Bhimarmi, Mayawati, Jignesh Mevani, Dalits who shout Manuwad on every small thing, Gandhi's three monkeys are sitting on this incident.",The ink of the pen of Facebook Neele Zandabdar is over after writing Jai Bhim Jai Mim.,"All of you are requested to share this news with #JUSTICE_FOR_RAMALINGAM on your own wall as much as possible and share it on other social media like Whatsapp, Twitter, Instagram.",none
71,1072,,A big worry!,"There was no Muslim in Vrindavan till 1965, especially for Hindus!",none
72,1073,"It meant only that nothing should happen to Saddam Hussein somewhere in Iraq, India went to the stove.",Now imagine what they would do if India and Saudi Arabia fought in the future when they rejected India's interests for Iraq.,Keep in mind that the Muslim of India will support Saudi Arabia.,none
73,1074,"They used to patrol with jihadi slogans, taking out a group of weapons and making flocks of flocks in the streets.",His motive was only one.,To strike as terror on Hindu subjects.,none
74,1075,A Hindu refused to take delivery from the hand of a Muslim delivery boy and canceled his order.,Zomato patted his back and tried to rob him that food had no religion… the lack of a customer would be tolerated.,"We Hindus are getting angry on this subject that the complaint of a Muslim not having halal meat was taken seriously, but the Hindu's complaint of religious confederation was not only denied, but he had to pat his back Opportunity was also created.",none
75,1076,"Pagan Hindus have been sacrificed by thousands of temples to make them realize the power of real God, Hindu-Sikh Guru Tegh Bahadur ji's decree for not accepting Islam, Guru's flying head on Delhi's land, Bhai Mati Das's saw Body burnt, Bhai Sati Das wrapped in cotton, burnt body, 700 Sikhs' cut heads on bhales, procession of severed heads in Delhi, 20 days of torture of Chhatrapati Shivaji Maharaj's son Chhatrapati Sambhaji, not accepting Islam Eyes taken out of the dagger, tongues drawn not to speak Allahu Akbar, fingernails drawn with fingers, fingers crushed with stones, body skins drawn with tongs, bowls cut from pots, sword punched with head .","The abduction of young children between the ages of 5 and 8, Gobind Singhji, the tenth Hindu-Sikh Guru in the eighteenth century, the order to accept them as Islam, the refusal of children, the children raised alive in the wall, the noise of Allahu Akbar.","Banda Vairagi, who avenges the sacrifice of children, comes to Delhi, captures him in a lion's cage and roams the city of Delhi, takes out the flesh of a young child from the dagger, lures the father Banda Bairagi in the mouth, breaks the body into pieces for not accepting Islam On the streets of Delhi.",oppression
76,1077,The answer is no right.,"When the Muslims got a separate Muslim nation in Partition, were the Hindus not entitled to a separate Hindu nation?","The answer was, of course.",action
77,1078,"_ _ लगाया Amarnath 🌷 🔥  🙏   🏹  🌞  🔱  ⛳  🐚  🕉  imposed jiziya on the passengers, the minister was Muslim.","Crores of Hindus who vowed to cut them, they are also Muslims.",_ _👹 Every person who eats cow slaughter is a Muslim.,culture
78,1079,The Sharq-e Mujahid that will be formed in this war will gain the proximity of the Nabi by attaining the highest status of Jannat.,It has started with the xodus of Hindus from Kashmir.,All the education of the children of primary school in Pakistan Is part of the syllabus (syllabus).,oppression
79,1080,The Muslims engaged in such things as lifting the dirt from them.,"After all, he had to accept this hungry stomach.",Bangladesh became after 1971 but the act of scavenging is still carried out in Pakistan by non-Muslims ie Dalit Hindus and converted Christians of Valmiki society.,none
80,1081,"Here the ratio is also a mess… Above all you worry about the population but never think that if your ancestors changed from Hindu, is it not your duty today to bring them back but then your brotherhood, Equalism will come forward and when you are like this, you will get the same government…!","The bottom line is that if you want a solution to the problem, then go to the root of the problem ........","The core is that as long as Islam remains, jihad will continue ........ now two things can happen Either you kill everyone (two and a half billion) or if you want to stay alive, get them back home and then after a couple of generations, they will automatically become like you….",action
81,1082,This is his last chance to save Hinduism in the state.,The non-Hindu population in Kerala has grown rapidly to more than 35 per cent.,"* If the old traditions of Sabarimala were broken, Christian missionaries would proclaim that Lord Ayyappa had no power and that they were now defiled.",none
82,1083,"If it happens, it will go away, if no one is getting married, it will happen.","Tomb worship is an example of Hindu-Muslim unity and a sign of secularism, what else is there to keep Hindus in the dark?","Influenced by tomb worship, many Hindus become Muslims as seen in the famous music composer AR Rahman.",none
83,1084,"If the anti-social elements do some evil with the people living in these areas, then what can be done to protect them?","If the police is active after the incident, then what should those living in such seclusion do?","Satisfy that after their assassination, the police will definitely catch the culprits?",none
84,1085,"Understanding the partner is Shirk (polytheism), which the master will never forgive.","Apart from this, he will forgive any crime if he wants.",Our intelligence itself considers this sin (ie Shirk) as bad and we consider this work equally unpleasant.,none
85,1086,One of them was the Rajendra Sachar Commission and the other was the Justice Ranganath Mishra Commission.,The Sachar Commission executed its assigned work well.,He recommended that Muslims should be given reservation in government jobs on the basis of religion.,none
86,1087,"But because in the name of opposing something wrong, you also lose your sweat.","During a procession, trying to make way by making horns from your car or bike, you silently stand on the bike and car in the procession of Muharram and when you beat the drum of respect of all the communities, it is not because you are true.",,none
87,1088,"So I want to ask them, who are the marginalized today who started the movement for Ram temple ???",What have you done to Praveen Togadia ??,"There is a community of Islam, which stands wide with the rapists of criminals of bomb blasts.",none
88,1089,"Rather than giving the father's shoulder to the shoulder, his fathers shoulder the meaning of their ladles, because of answering those who keep a watchful eye on the sister daughters of the Ahsan Faramosh.",Consider all the nation's guards ……,,none
89,1090,"- No, he has been rioted again 4-Bangladesh will go against Muslims - Is there anything there 5-Japan will go?","- No, he does not give citizenship 6-Will go to Syria - No, there is a civil war going on Is 7-Somalia will go - no, that is dangerous for Muslims 8-Saudi Arabia will go - No, will not stay, can only go to earn money 9-Will go to Iraq - No, there is a chance of ruin 10-In any other Muslim country Will not stay 11-will go to China - No, China also does not give visas to Muslims today.",No 13-Do you like Hindus?,culture
90,1091,"* * 6 - Australia: - * * Warnings to Muslims, follow laws or leave the country.",* * 7 - Britain: - * * Discrimination and hatred of Muslims.,"* * 8 - America: - * * Taking off the tights at the airport, Shah Rukh and Azam Khan is a victim.",culture
91,1092,"As long as there was #Gulshan Kumar, these pigs were facing problem in Islamization, they used to prick them like thorns, so they got them killed ,,, so that there is no hindrance in Islamization, everywhere in Bollywood A full # of Islamization is being attempted, in most films, the love story of Hindu girl and Muslim boy is shown, and ""#Love_Jihad"" is promoted, and these films have a direct impact on Hindus living in India.","I have to fall in and they are roaming to become secular, they will also come to wisdom only when everything has ended like Kashmir, but what does it mean by repenting or crying, because you are #Kafir, your Who will listen, no one, either will be killed or they will be made a pig, consider this today only in India, whose population is only 25 - 30 # crores, then the day they are 50 to 60 crores.","What will happen on that day too, wake up!",none
92,1093,"All Hindus have to vacate the area like it did in the Inmullah building area of ​​Dehradun, because Muslims now start having problems with Hindus!","Meat meat shops are opened on the side of the temple, like what happened in Machhi Bazaar of Dehradun and mosques are made!",Finally the temple is demolished!,none
93,1094,"In fact, there was no other option but to kill them by the sword.","As soon as I heard these words, I found that they conformed to the laws of Islamic war, and I directly ordered in all the tents, that every person who had a prisoner of war handed them to death, that is, their Slaughter As soon as the gazis of Islam came to know the orders, they killed the prisoners.","10,000 'unbelievers', 'impure idol worshipers', (Hindus) were slaughtered that day.",oppression
94,1095,"Heart-wrenching description of the jihadi campaigns during the Partition of the country is described in detail by Justice Gopal Das Khosla in his book ""Stern Recording""!",The horrors of the future can be seen as soon as we look at the Islamic tradition from birth to today!,The question of the existence of a community is a thousand times bigger than all the problems in its life!,culture
95,1096,"During this calamity, Veer Chhatrasal invited Marathas to cooperate.","The Marathas, despite the rainy season, the Mughal was resting  Attacked the army and drove them away.",Veer Chhatrasal re-entered his capital.,none
96,1097,"Communist Party of Pakistan, which thrived in Bangladesh ... but #Sajjad in Pakistan Zaheer, famous poet writer Faiz Ahmad Faiz, Shair Ahmed Faraz, Razia Sajjad Zaheer and some Pakistani generals jointly attempted a military coup in Pakistan in the Rawalpindi Conspiracy Case and were imprisoned on being caught.","Sajjad Zaheer, Ahmed Faraz and Faiz Ahmed Faiz were sentenced to long sentences ... After being released from prison, Sajjad Zaheer came to India and declared himself # refugee and sought Indian citizenship from the Congress government and the Congress government also gave Sajjad Indian citizenship.","Diya ... Now listen to the further story, these Mian Saheb, Sajjad Zaheer and Razia Zaheer had four daughters ... 1- #Najma_Jaheer_Bakar, eldest daughter of Pakistani Sajjad Zaheer, who was a biochemistry in Nehru's madrasa, #JNU Professor is ... 2- The second daughter is #Naseem_Bhatia ... 3- Sajjad Zaheer's third daughter is #Nadira_Babbar who is married to film actor and Congress MP #Raj_Babbar, they have two children, #Arya_Babbar and #Juhi_Babbar .. 4- Sajjad Zaheer's fourth and youngest daughter is named #Nur_Zaheer, she is also a writer and is associated with JNU ... Noor Zaheer did not marry and continues to live on his decision to remain unmarried throughout his life.",none
97,1098,"After killing the farmer with an ax, the thieves escaped with three buffalo.",And now animal thieves have killed a young man named Gopal in Haryana itself.,He was trying to stop a vehicle carrying stolen cattle.,oppression
98,1099,"For this work, when the jihadi boys die, the young jihadis are said to have got 42 handsome young men and if they win, then infinite opportunities for cohabiting with young Kafir women are also proposed.","This endless series of 1400 years  Is going on Earlier, Sanatani roots were deep in India, which again and again led to the rise of Sanatani-Hinduism, but to this day, false history and misreading and TV / media controlled by churches and Arabs have kept the fleet of Hindutva on it, this anti-Hindu governments on every Is working which is necessary for ending Hinduism.","This process of Gajwa-e-Hind has been tried in Kashmir which has been 100% successful, its trial is going on in Jammu.",none
99,1100,The word Dalit is derogatory.,Poor is in every caste and religion.,"In fact, Dalit is a derogatory term which is not found anywhere in our constitution.",none
100,1101,"This is a new 🚩  generation, this is the age 🏻 🔺   👇  of information, India will no longer be the 🔺  home of Khala Jaan.",छोटेOnce our 🔺  hearts are small but once and we will not give you 🔺  a chance to crush your soul.,"🚩 🔺  North East is ours, if anyone has 🔺  seen a sorrowful look at a Hindu 🔺  sister or daughter from Assam to 🔺  Arunachal .. the red color will illuminate the mountains.",none
101,1102,* Every Hindu must 🚩 🚩   share !!!,* 🚩 🗡  🗡   🚩  You will know how many Hindus have become one today !!!!,"* * Awande Mataram * Wake up… Hindus… wake up… * this After reading the message, if you find it appropriate, then you must also send the message to make your acquaintances aware / to read.",none
102,1103,you will find more in those areas in which Kshatriya branches of Hindu society are in majority.,"Take example: - In order to make the dreaded hardcore Hindu Kshatriya society called Maratha in Maharashtra, impotent, religious and semi-Muslim, the Shirdi center was made overnight and Chand Mohammed Mian, an intoxicated Muslim, was presented as Sai Baba, the Messiah of Hindu Marathas and Nashik in Maharashtra.",", Shirdi, Pune, Aurangabad etc.",none
103,1104,Because Allah is also a crafty.,"See ---- 👇🏻 * * 🔥 -Beware of the crafty of Allaah --- 👇🏻 * ""Have people become unaware of the hidden tricks (crafty) 🔥  of Allah, those who are unaware 🏻  👇  of Allaah's tricks (crafty) They do, they are definitely in loss _ * Surah Al Araf-7: 99.","""* * 🔥 -Allah is the biggest eagle --- * 👇🏻"" Allah keeps on talking about 🔥  people, and secret 🏻  👇  tricks (Makkari) goes on, of course Allah is the best man (Makkar).",action
